@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 {0,1,2,3,4,5,6}

@data
62,'2017/02/07 17:15:52:014',1,0.81265,0.442948,0.166918,0.307224,0.242663,0.138189,0.080196,0.149779,0.20861,0.338471,0.400208,0.163522,0.1747,172.265625,0.005724,0.015834,?,?,?
63,'2017/02/07 17:15:52:035',1,0.854657,0.529588,0.286453,0.130834,0.010943,0.059986,0.226688,0.10332,0.186915,0.200574,0.16761,0.293023,0.336953,215.332031,0.005867,0.016843,?,?,?
64,'2017/02/07 17:15:52:056',1,0.625834,0.289533,0.161783,0.291117,0.076476,0.028866,0.204626,0.276114,0.143806,0.301938,0.308789,0.298979,0.38477,215.332031,0.005481,0.013325,?,?,?
65,'2017/02/07 17:15:52:076',1,0.689812,0.332586,0.076933,0.095451,0.146624,0.225832,0.236092,0.16748,0.188641,0.322391,0.254408,0.265382,0.241279,19896.679688,0.006689,0.016466,?,?,?
66,'2017/02/07 17:15:52:097',1,0.700449,0.395006,0.157587,0.27565,0.134733,0.212286,0.301521,0.427745,0.320491,0.150555,0.259638,0.130584,0.15844,387.597656,0.005866,0.012586,?,?,?
67,'2017/02/07 17:15:52:118',1,0.636892,0.31597,0.206563,0.19774,0.181307,0.226728,0.303909,0.245847,0.197627,0.280276,0.147019,0.261341,0.292002,19810.546875,0.006353,0.015009,?,?,?
68,'2017/02/07 17:15:52:139',1,0.673867,0.414792,0.298196,0.268412,0.046995,0.231693,0.24469,0.225931,-0.025359,0.236526,0.310288,0.385473,0.37272,19982.8125,0.006916,0.016594,?,?,?
69,'2017/02/07 17:15:52:159',1,0.624232,0.164532,-0.076991,0.18393,0.158509,0.206988,0.25203,0.346339,0.273155,0.227761,0.342438,0.4049,0.268715,430.664063,0.005143,0.012611,?,?,?
70,'2017/02/07 17:15:52:180',1,0.82308,0.452182,0.154667,0.218388,0.069922,0.032204,0.194009,0.249912,0.289432,0.242622,0.227513,0.276908,0.212536,258.398438,0.005573,0.014258,?,?,?
71,'2017/02/07 17:15:52:202',1,0.853373,0.522762,0.146445,0.123596,0.108296,0.163144,0.144124,0.116169,0.181402,0.422826,0.478317,0.254004,0.139896,258.398438,0.005557,0.016513,?,?,?
72,'2017/02/07 17:15:52:223',1,0.640198,0.444972,0.284661,0.149535,0.013104,0.041955,0.181285,0.453646,0.260089,0.135839,0.108687,0.248187,0.302337,19982.8125,0.006877,0.01707,?,?,?
73,'2017/02/07 17:15:52:243',1,0.803083,0.529571,0.151986,0.183161,0.309354,0.234813,0.196592,0.15145,0.153822,0.273579,0.274399,0.328461,0.341624,172.265625,0.005204,0.012536,?,?,?
74,'2017/02/07 17:15:52:264',1,0.899794,0.496218,0.125261,0.153417,0.03389,0.10178,0.337182,0.252638,0.140015,0.175031,0.186155,0.271194,0.336892,215.332031,0.007855,0.019039,?,?,?
75,'2017/02/07 17:15:52:285',1,0.834444,0.507802,0.151395,0.234233,0.141844,0.154066,0.22208,0.146361,0.171889,0.115262,0.133697,0.279832,0.389003,172.265625,0.006516,0.016968,?,?,?
76,'2017/02/07 17:15:52:306',1,0.728968,0.518044,0.274761,0.20122,0.057764,0.220379,0.344009,0.337806,0.044525,0.10923,0.215513,0.297605,0.306194,172.265625,0.006345,0.01483,?,?,?
77,'2017/02/07 17:15:52:326',1,0.811234,0.469305,0.267479,0.309651,0.129962,0.006476,0.150009,0.246398,0.066211,0.212435,0.33735,0.418592,0.165333,215.332031,0.007107,0.017812,?,?,?
78,'2017/02/07 17:15:52:347',1,0.958128,0.406725,0.175779,0.18898,0.062917,0.132194,0.23356,0.167437,0.095193,0.290791,0.357242,0.222121,0.235641,215.332031,0.006563,0.016153,?,?,?
79,'2017/02/07 17:15:52:368',1,0.683891,0.444393,0.199032,0.211338,0.085635,0.049637,0.247565,0.34614,0.432968,0.304518,0.195494,0.245767,0.284464,301.464844,0.005284,0.014423,?,?,?
80,'2017/02/07 17:15:52:389',1,0.707326,0.231375,0.115008,0.270557,0.206171,0.256589,0.291848,0.315461,0.389107,0.255346,0.217437,0.28946,0.229215,344.53125,0.006325,0.014526,?,?,?
81,'2017/02/07 17:15:52:410',1,0.659844,0.362505,0.216181,0.241149,0.06875,0.263562,0.373257,0.374057,0.195504,0.219998,0.224681,0.25258,0.291829,20025.878906,0.006057,0.01707,?,?,?
82,'2017/02/07 17:15:52:431',1,0.588371,0.353114,0.132688,0.086147,-0.068813,0.073169,0.268811,0.241773,0.178626,0.378491,0.468825,0.414942,0.271016,258.398438,0.00507,0.011136,?,?,?
83,'2017/02/07 17:15:52:452',1,0.640745,0.491275,0.157424,0.154305,0.203128,0.278072,0.368182,0.24072,0.098098,0.279385,0.174899,0.221193,0.295237,19896.679688,0.007579,0.016308,?,?,?
84,'2017/02/07 17:15:52:472',1,0.799697,0.360037,0.207017,0.409166,0.120144,-0.006888,0.110365,0.221566,0.199185,0.314744,0.290174,0.376491,0.356207,215.332031,0.005596,0.01266,?,?,?
85,'2017/02/07 17:15:52:493',1,0.706823,0.3928,0.241629,0.292137,0.069262,0.128575,0.287267,0.192748,0.243318,0.270556,0.172945,0.277623,0.285683,215.332031,0.006298,0.013354,?,?,?
86,'2017/02/07 17:15:52:514',1,0.727729,0.497903,0.251238,0.356351,0.238196,0.175998,0.111516,0.250567,0.100955,0.271058,0.309749,0.298125,0.242679,172.265625,0.005505,0.012679,?,?,?
87,'2017/02/07 17:15:52:535',1,0.695079,0.319721,0.061814,0.119018,0.13999,0.035472,0.112668,0.297763,0.208225,0.280318,0.361832,0.43017,0.446652,215.332031,0.00543,0.014231,?,?,?
88,'2017/02/07 17:15:52:555',1,0.831227,0.504017,0.321384,0.411361,0.093546,0.092283,0.231797,0.270845,0.012648,0.111774,0.127916,0.285112,0.329302,172.265625,0.006093,0.016293,?,?,?
89,'2017/02/07 17:15:52:577',1,0.629745,0.290961,0.217243,0.344912,0.072113,-0.021171,0.172927,0.319363,0.362104,0.43161,0.368957,0.432312,0.230816,258.398438,0.006643,0.015539,?,?,?
90,'2017/02/07 17:15:52:597',1,0.889208,0.40417,0.087336,0.242527,0.093794,0.014182,0.034277,0.26082,0.223716,0.32766,0.290769,0.240821,0.23992,215.332031,0.006397,0.015217,?,?,?
91,'2017/02/07 17:15:52:618',1,0.839655,0.484538,0.10459,0.271558,0.077731,0.187904,0.154433,0.060095,0.259623,0.167225,0.291256,0.248456,0.181602,172.265625,0.006602,0.017312,?,?,?
92,'2017/02/07 17:15:52:639',1,0.801744,0.359672,0.116605,0.24871,0.067836,0.012106,0.151935,0.301489,0.177608,0.308368,0.306522,0.256205,0.212662,215.332031,0.007496,0.016777,?,?,?
93,'2017/02/07 17:15:52:660',1,0.695529,0.56477,0.165099,0.194674,0.111315,0.269958,0.199067,0.158066,0.076341,0.28856,0.313681,0.25883,0.304124,19896.679688,0.007732,0.018269,?,?,?
94,'2017/02/07 17:15:52:680',1,0.800207,0.468208,0.242963,0.092055,0.180889,0.123463,0.099129,0.271821,0.284371,0.199429,0.176098,0.102762,0.377984,215.332031,0.005689,0.014264,?,?,?
95,'2017/02/07 17:15:52:702',1,0.760392,0.356221,0.216459,0.265614,0.224478,0.195896,0.269481,0.314624,0.18549,0.295862,0.099578,0.248658,0.230953,129.199219,0.006289,0.01532,?,?,?
96,'2017/02/07 17:15:52:722',1,0.678429,0.272215,0.070362,0.071133,0.080023,0.185306,0.234817,0.302405,0.203378,0.306173,0.265371,0.390785,0.319524,19982.8125,0.007302,0.018075,?,?,?
97,'2017/02/07 17:15:52:743',1,0.813469,0.598457,0.345541,0.286689,0.105753,0.054462,0.169481,0.172779,0.240116,0.316377,0.214636,0.107808,0.29254,172.265625,0.005883,0.012906,?,?,?
98,'2017/02/07 17:15:52:765',1,0.83024,0.484165,0.199466,0.325129,0.262505,0.137516,0.09365,0.219951,0.026937,0.230336,0.227254,0.211186,0.311648,172.265625,0.008072,0.020508,?,?,?
99,'2017/02/07 17:15:52:785',1,0.861319,0.482372,0.248932,0.320455,0.288565,0.13091,0.128265,0.129229,0.009938,0.161559,0.229021,0.305735,0.314612,172.265625,0.006737,0.017983,?,?,?
100,'2017/02/07 17:15:52:806',1,0.708575,0.419697,0.070245,0.109081,0.211531,0.045343,0.18426,0.421243,0.282319,0.256387,0.318776,0.294171,0.277893,258.398438,0.00601,0.013135,?,?,?
101,'2017/02/07 17:15:52:827',1,0.854773,0.443199,0.204579,0.26039,0.181768,0.102988,0.062359,0.208085,0.116229,0.311915,0.31055,0.236752,0.315615,215.332031,0.007314,0.019014,?,?,?
102,'2017/02/07 17:15:52:847',1,0.778259,0.399472,0.14494,0.207714,0.166935,0.274056,0.267407,0.259598,0.242154,0.368091,0.390539,0.341338,0.279123,301.464844,0.005804,0.014735,?,?,?
103,'2017/02/07 17:15:52:868',1,0.855406,0.52424,0.167524,0.168965,-0.003221,0.146588,0.199712,0.191226,0.154614,0.216339,0.16897,0.304331,0.314452,172.265625,0.00648,0.016627,?,?,?
